,title,authors,type,year_correct,year_number,collected_by,number_authors
1343,Katalog der Carl Menger-Bibliothek in der Handels-Universität Tokio,['Burt Franklin'],Publication,True,1926,Fabian,1
1344,"Katalogerweiterungen, Mashups und Elemente der ""Bibliothek 2.0"" in der Praxis",['Matthias Hahn'],Publication,True,2009,Fabian,1
1345,Oligosaccharid-basierte Tenside - Synthese und Analytik einer Bibliothek von Glykolipiden,['Alexandra Schmidt'],Publication,True,2012,Fabian,1
1346,Die Leiche in der Bibliothek: Friedrich Glauser und der Detektivroman,['Patrick Bühler'],Publication,True,2000,Fabian,1
1347,Die literarische Kritik in Nicolais Allgemeiner deutscher Bibliothek (1765-1794),['Margarete Kupfer'],Publication,True,1922,Fabian,1
1348,Sonntags in die Bibliothek!: die Wiederbelebung des Bibliothekssonntags in Deutschland,['Ulrike Verch'],Publication,True,2005,Fabian,1
1349,Lehrstuhl Digital Library / Lehrstuhl Digitale Bibliothek / La chaire bibliothèques numériques.,['Michael Seadle'],Publication,True,2013,Fabian,1
1350,Numerische Algorithmen in Softwaresystemen - unter besonderer Berücksichtigung der NAG-Bibliothek.,['Norbert Köckler'],Publication,True,1990,Fabian,1
1352,Katalog der armenischen Handschriften in der Mechitharisten-Bibliothek zu Wien,['Hamazasp Oskean'],Publication,True,1963,Fabian,1
1353,Bibliothek der dritten Lebensphase : Angebote für die Zielgruppe der Älteren,['Gudrun Kulzer'],Publication,True,2014,Fabian,1
1355,"Die Septemberbibel Nikolaus Glockendons (1522 - 1524): (Wolfenbüttel, Herzog-August-Bibliothek)",['Herbert Schneidler'],Publication,True,1979,Fabian,1
1356,"Eine Bibliothek von Basisdiensten für Parallelrechner: Routing, Synchronisation, gemeinsamer Speicher.",['Alf Wachsmann'],Publication,True,1995,Fabian,1
1357,Geschichte schreiben in der Postmoderne - Beiträge zur aktuellen Diskussion,"['Christoph Conrad', 'Martina Kessel']",Publication,True,1994,Fabian,2
1358,Herstellung und Charakterisierung einer cDNA-Bibliothek für das Milchdrüsengewebe beim Rind,['Thomas Kratzberg'],Publication,True,1989,Fabian,1
1359,Friedrich Nicolais Allgemeine Deutsche Bibliothek und der Friede von Basel 1795,['Ernst Engels'],Publication,True,1935,Fabian,1
1360,Die vergessene Bibliothek: Spurensuche zu Biographie und Büchersammlung von Victor Manheimer,['Sebastian Kötz'],Publication,True,2012,Fabian,1
1361,Innovationsmanagement an Hochschulbibliotheken am Beispiel der ETH-Bibliothek - ETH E-Collection,['Rudolf Mumenthaler'],Publication,True,2009,Fabian,1
1362,Generierung und funktionelle Anwendung einer randomisierten sh- und si-RNA-Bibliothek,['Daniel Schäfer'],Publication,True,2009,Fabian,1
1363,"Die ""fiebernde Bibliothek"": Foucaults Sprachontologie und seine diskursanalytische Konzeption moderner Literatur",['Arne Klawitter'],Publication,True,2001,Fabian,1
1364,Studien zur Geschichte der Kaiserlichen Öffentlichen Bibliothek in St. Petersburg (Leningrad),['Werner von Grimm'],Publication,True,1931,Fabian,1
1365,Die Bestandsentwicklung der Bibliothek der Philosophischen Fakultät der Universität Leipzig von ihren Anfängen bis zur Mitte des 16. Jh. Jahrhunderts: e. Beitr. zur Wissenschaftsgeschichte d. Leipziger Univ. in ihrer vorreformator. Zeit,['Detlef Döring'],Publication,True,1986,Fabian,1
1366,Konkrete Handlungspotenziale aufgedeckt: Die Klimabilanzierung der Stadtbibliothek Pankow,['Tim Schumann'],Publication,True,2022,Fabian,1
1367,Studien zur Geschichte der Kaiserlichen Öffentlichen Bibliothek in St. Petersburg (Leningrad),['Werner Grimm'],Publication,True,1933,Fabian,1
1369,Chemische Modelle für Metalloenzyme: vom biomimetischen Hydrolysekatalysator zur dynamischen Metallorezeptor-Bibliothek,['Ria Deters'],Publication,True,1999,Fabian,1
1370,"Das Konzept der ""virtuellen Bibliothek"" im deutschen Bibliothekswesen der 1990er Jahre",['Heidrun Wiesenmüller'],Publication,True,2000,Fabian,1
